instrument_token,tradingsymbol,name,expiry,strike,tick_size,lot_size,exchange,instrument_type,segment,isin,freeze_quantity
267273,NIFTY SMLCAP 250,NIFTY SMLCAP 250,,0.0,0.0,0,NSE,EQ,INDICES,,
267529,NIFTY50 VALUE 20,NIFTY50 VALUE 20,,0.0,0.0,0,NSE,EQ,INDICES,,
267785,NIFTY100 LIQ 15,NIFTY100 LIQ 15,,0.0,0.0,0,NSE,EQ,INDICES,,
268041,NIFTY 500,NIFTY 500,,0.0,0.0,0,NSE,EQ,INDICES,,
268297,NIFTY CPSE,NIFTY CPSE,,0.0,0.0,0,NSE,EQ,INDICES,,
268553,NIFTY GS 4 8YR,NIFTY GS 4 8YR,,0.0,0.0,0,NSE,EQ,INDICES,,
268809,NIFTY GS 8 13YR,NIFTY GS 8 13YR,,0.0,0.0,0,NSE,EQ,INDICES,,
269065,NIFTY GS 10YR,NIFTY GS 10YR,,0.0,0.0,0,NSE,EQ,INDICES,,
269321,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,,0.0,0.0,0,NSE,EQ,INDICES,,
269577,NIFTY GS 11 15YR,NIFTY GS 11 15YR,,0.0,0.0,0,NSE,EQ,INDICES,,
269833,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,,0.0,0.0,0,NSE,EQ,INDICES,,
270089,NIFTY GS COMPSITE,NIFTY GS COMPSITE,,0.0,0.0,0,NSE,EQ,INDICES,,
270345,NIFTY GROWSECT 15,NIFTY GROWSECT 15,,0.0,0.0,0,NSE,EQ,INDICES,,
270601,NIFTY MID LIQ 15,NIFTY MID LIQ 15,,0.0,0.0,0,NSE,EQ,INDICES,,
270857,NIFTY NEXT 50,NIFTY NEXT 50,,0.0,0.0,0,NSE,EQ,INDICES,,
271113,NIFTY PVT BANK,NIFTY PVT BANK,,0.0,0.0,0,NSE,EQ,INDICES,,
271625,NIFTY50 EQL WGT,NIFTY50 EQL WGT,,0.0,0.0,0,NSE,EQ,INDICES,,
271881,NIFTY100 EQL WGT,NIFTY100 EQL WGT,,0.0,0.0,0,NSE,EQ,INDICES,,
272137,NIFTY100 LOWVOL30,NIFTY100 LOWVOL30,,0.0,0.0,0,NSE,EQ,INDICES,,
272393,NIFTY100 QUALTY30,NIFTY100 QUALTY30,,0.0,0.0,0,NSE,EQ,INDICES,,
273673,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,,0.0,0.0,0,NSE,EQ,INDICES,,
288009,NIFTY MID SELECT,NIFTY MIDCAP SELECT (MIDCPNIFTY),,0.0,0.0,0,NSE,EQ,INDICES,,
288265,NIFTY FINSRV25 50,NIFTY FINSRV25 50,,0.0,0.0,0,NSE,EQ,INDICES,,
288521,NIFTY HEALTHCARE,NIFTY HEALTHCARE,,0.0,0.0,0,NSE,EQ,INDICES,,
288777,NIFTY CONSR DURBL,NIFTY CONSR DURBL,,0.0,0.0,0,NSE,EQ,INDICES,,
289033,NIFTY OIL AND GAS,NIFTY OIL AND GAS,,0.0,0.0,0,NSE,EQ,INDICES,,
289289,NIFTY500 MULTICAP,NIFTY500 MULTICAP,,0.0,0.0,0,NSE,EQ,INDICES,,
289545,NIFTY LARGEMID250,NIFTY LARGEMID250,,0.0,0.0,0,NSE,EQ,INDICES,,
289801,NIFTY100ESGSECLDR,NIFTY100ESGSECLDR,,0.0,0.0,0,NSE,EQ,INDICES,,
290057,NIFTY200MOMENTM30,NIFTY200MOMENTM30,,0.0,0.0,0,NSE,EQ,INDICES,,
290313,NIFTY TOTAL MKT,NIFTY TOTAL MKT,,0.0,0.0,0,NSE,EQ,INDICES,,
290569,NIFTY MICROCAP250,NIFTY MICROCAP250,,0.0,0.0,0,NSE,EQ,INDICES,,
290825,NIFTY M150 QLTY50,NIFTY M150 QLTY50,,0.0,0.0,0,NSE,EQ,INDICES,,
291081,NIFTY INDIA MFG,NIFTY INDIA MFG,,0.0,0.0,0,NSE,EQ,INDICES,,
291337,NIFTY IND DIGITAL,NIFTY IND DIGITAL,,0.0,0.0,0,NSE,EQ,INDICES,,
291593,NIFTY100 ESG,NIFTY100 ESG,,0.0,0.0,0,NSE,EQ,INDICES,,
294409,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,,0.0,0.0,0,NSE,EQ,INDICES,,
294665,NIFTYM150MOMNTM50,NIFTYM150MOMNTM50,,0.0,0.0,0,NSE,EQ,INDICES,,
294921,NIFTY TATA 25 CAP,NIFTY TATA 25 CAP,,0.0,0.0,0,NSE,EQ,INDICES,,
295177,NIFTY MULTI MFG,NIFTY MULTI MFG,,0.0,0.0,0,NSE,EQ,INDICES,,
295433,NIFTY MULTI INFRA,NIFTY MULTI INFRA,,0.0,0.0,0,NSE,EQ,INDICES,,
295689,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,,0.0,0.0,0,NSE,EQ,INDICES,,
404745,NIFTY AQL 30,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,,0.0,0.0,0,NSE,EQ,INDICES,,
405001,NIFTY AQLV 30,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,,0.0,0.0,0,NSE,EQ,INDICES,,
405257,NIFTY CORP MAATR,NIFTY INDIA SELECT 5 CORPORATE GROUPS,,0.0,0.0,0,NSE,EQ,INDICES,,
405513,NIFTY EV,NIFTY EV & NEW AGE AUTOMOTIVE,,0.0,0.0,0,NSE,EQ,INDICES,,
405769,NIFTY HIGHBETA 50,NIFTY HIGHBETA 50,,0.0,0.0,0,NSE,EQ,INDICES,,
406025,NIFTY LOW VOL 50,NIFTY LOW VOLATILITY 50,,0.0,0.0,0,NSE,EQ,INDICES,,
406281,NIFTY MOBILITY,NIFTY MOBILITY,,0.0,0.0,0,NSE,EQ,INDICES,,
406537,NIFTY MULTI MQ 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,,0.0,0.0,0,NSE,EQ,INDICES,,
406793,NIFTY NEW CONSUMP,NIFTY INDIA NEW AGE CONSUMPTION,,0.0,0.0,0,NSE,EQ,INDICES,,
407049,NIFTY QLTY LV 30,NIFTY QUALITY LOW VOLATILITY 30,,0.0,0.0,0,NSE,EQ,INDICES,,
407305,NIFTY SML250 Q50,NIFTY SMALLCAP250 QUALITY 50,,0.0,0.0,0,NSE,EQ,INDICES,,
407561,NIFTY TOP 10 EW,NIFTY TOP 10 EQUAL WEIGHT,,0.0,0.0,0,NSE,EQ,INDICES,,
407817,NIFTY TOP 15 EW,NIFTY TOP 15 EQUAL WEIGHT,,0.0,0.0,0,NSE,EQ,INDICES,,
408073,NIFTY TOP 20 EW,NIFTY TOP 20 EQUAL WEIGHT,,0.0,0.0,0,NSE,EQ,INDICES,,
408329,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,,0.0,0.0,0,NSE,EQ,INDICES,,
408585,NIFTY100 ENH ESG,NIFTY100 ENHANCED ESG,,0.0,0.0,0,NSE,EQ,INDICES,,
408841,NIFTY200 VALUE 30,NIFTY200 VALUE 30,,0.0,0.0,0,NSE,EQ,INDICES,,
409097,NIFTY500 EW,NIFTY500 EQUAL WEIGHT,,0.0,0.0,0,NSE,EQ,INDICES,,
409353,NIFTY500 VALUE 50,NIFTY500 VALUE 50,,0.0,0.0,0,NSE,EQ,INDICES,,
409609,NIFTY500MOMENTM50,NIFTY500 MOMENTUM 50,,0.0,0.0,0,NSE,EQ,INDICES,,
409865,NIFTYMS400 MQ 100,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,,0.0,0.0,0,NSE,EQ,INDICES,,
410121,NIFTYSML250MQ 100,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,,0.0,0.0,0,NSE,EQ,INDICES,,
410377,NIFTY COREHOUSING,NIFTY CORE HOUSING,,0.0,0.0,0,NSE,EQ,INDICES,,
410633,NIFTY FINSEREXBNK,NIFTY FINANCIAL SERVICES,,0.0,0.0,0,NSE,EQ,INDICES,,
410889,NIFTY HOUSING,NIFTY HOUSING,,0.0,0.0,0,NSE,EQ,INDICES,,
411145,NIFTY IPO,NIFTY IPO,,0.0,0.0,0,NSE,EQ,INDICES,,
411401,NIFTY MS FIN SERV,NIFTY MIDSMALL FINANCIAL SERVICES,,0.0,0.0,0,NSE,EQ,INDICES,,
411657,NIFTY MS IND CONS,NIFTY MIDSMALL INDIA CONSUMPTION,,0.0,0.0,0,NSE,EQ,INDICES,,
411913,NIFTY MS IT TELCM,NIFTY MIDSMALL IT & TELECOM,,0.0,0.0,0,NSE,EQ,INDICES,,
412169,NIFTY NONCYC CONS,NIFTY NON-CYCLICAL CONSUMER,,0.0,0.0,0,NSE,EQ,INDICES,,
412425,NIFTY RURAL,NIFTY RURAL,,0.0,0.0,0,NSE,EQ,INDICES,,
412681,NIFTY SHARIAH 25,NIFTY SHARIAH 25,,0.0,0.0,0,NSE,EQ,INDICES,,
412937,NIFTY TRANS LOGIS,NIFTY TRANSPORTATION & LOGISTICS,,0.0,0.0,0,NSE,EQ,INDICES,,
413193,NIFTY50 SHARIAH,NIFTY50 SHARIAH,,0.0,0.0,0,NSE,EQ,INDICES,,
413449,NIFTY500 LMS EQL,NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED,,0.0,0.0,0,NSE,EQ,INDICES,,
413705,NIFTY500 SHARIAH,NIFTY500 SHARIAH,,0.0,0.0,0,NSE,EQ,INDICES,,
413961,NIFTY IND DEFENCE,NIFTY INDIA DEFENCE,,0.0,0.0,0,NSE,EQ,INDICES,,
414217,NIFTY IND TOURISM,NIFTY INDIA TOURISM,,0.0,0.0,0,NSE,EQ,INDICES,,
414473,NIFTY CAPITAL MKT,NIFTY CAPITAL MARKETS,,0.0,0.0,0,NSE,EQ,INDICES,,
416521,Nifty BHARATBondIndex-Apr2025,NSE INDEX NIFTY BHARATBONDINDEX-APR2025,,0.0,0.0,0,NSE,EQ,INDICES,,
416777,BHARATBOND-APR33,NSE INDEX BHARATBOND-APR33,,0.0,0.0,0,NSE,EQ,INDICES,,
417033,BHARATBOND-APR32,NSE INDEX BHARATBOND-APR32,,0.0,0.0,0,NSE,EQ,INDICES,,
417289,BHARATBOND-APR31,NSE INDEX BHARATBOND-APR31,,0.0,0.0,0,NSE,EQ,INDICES,,
417545,BHARATBOND-APR30,NSE INDEX BHARATBOND-APR30,,0.0,0.0,0,NSE,EQ,INDICES,,
417801,Nifty500 LowVol50,NSE INDEX NIFTY500 LOWVOL50,,0.0,0.0,0,NSE,EQ,INDICES,,
418057,Nifty500 MQVLv50,NSE INDEX NIFTY500 MQVLV50,,0.0,0.0,0,NSE,EQ,INDICES,,
418313,Nifty500 Qlty50,NSE INDEX NIFTY500 QLTY50,,0.0,0.0,0,NSE,EQ,INDICES,,
418569,NIFTY50 USD,NSE INDEX NIFTY50 USD,,0.0,0.0,0,NSE,EQ,INDICES,,
418825,NIFTY INDIA FPI 150,NSE INDEX NIFTY INDIA FPI 150,,0.0,0.0,0,NSE,EQ,INDICES,,
419081,NIFTY500 FLEXICAP Q30,NSE INDEX NIFTY500 FLEXICAP Q30,,0.0,0.0,0,NSE,EQ,INDICES,,
419337,NIFTY TOTAL MKT MOM QLTY 50,NSE INDEX NIFTY TOTAL MKT MOM QLTY 50,,0.0,0.0,0,NSE,EQ,INDICES,,
419593,NIFTY SME EMERGE,NSE INDEX NIFTY SME EMERGE,,0.0,0.0,0,NSE,EQ,INDICES,,
419849,NIFTY INDIA INTERNET,NSE INDEX NIFTY INDIA INTERNET,,0.0,0.0,0,NSE,EQ,INDICES,,
420105,NIFTY CHEMICALS,NSE INDEX NIFTY CHEMICALS,,0.0,0.0,0,NSE,EQ,INDICES,,
420361,NIFTY WAVES,NSE INDEX NIFTY WAVES,,0.0,0.0,0,NSE,EQ,INDICES,,
420617,NIFTY INFRALOG,NSE INDEX NIFTY INFRALOG,,0.0,0.0,0,NSE,EQ,INDICES,,
420873,NIFTY500 HEALTHCARE,NSE INDEX NIFTY500 HEALTHCARE,,0.0,0.0,0,NSE,EQ,INDICES,,
257,GOLDSTAR-SM,GOLDSTAR POWER,,0.0,0.05,11250,NSE,EQ,NSE,,
1025,21STCENMGM,21ST CENTURY MGMT SERVICE,,0.0,0.01,1,NSE,EQ,NSE,,
1793,AARTIIND,AARTI INDUSTRIES,,0.0,0.05,1,NSE,EQ,NSE,,
3329,ABB,ABB INDIA,,0.0,0.5,1,NSE,EQ,NSE,,
3585,656KA30-SG,SDL KA 6.56% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
4353,GATECHDVR,GACM TECHNOLOGIES,,0.0,0.01,1,NSE,EQ,NSE,,
4609,66RJ30-SG,SDL RJ 6.6% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
4865,STYRENIX,STYRENIX PERFORMANCE,,0.0,0.1,1,NSE,EQ,NSE,,
5121,66GA30A-SG,SDL GA 6.6% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
5377,664UP30-SG,SDL UP 6.64% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
5633,ACC,ACC,,0.0,0.1,1,NSE,EQ,NSE,,
5889,67JK30-SG,SDL JK 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
6401,ADANIENT,ADANI ENTERPRISES,,0.0,0.1,1,NSE,EQ,NSE,,
6657,67HR30-SG,SDL HR 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
7425,667MH31-SG,SDL MH 6.67% 2031,,0.0,0.01,100,NSE,EQ,NSE,,
8193,679MP33-SG,SDL MP 6.79% 2033,,0.0,0.01,100,NSE,EQ,NSE,,
8705,ADOR,ADOR WELDING,,0.0,0.1,1,NSE,EQ,NSE,,
8961,677KA34-SG,SDL KA 6.77% 2034,,0.0,0.01,100,NSE,EQ,NSE,,
9729,685AP36-SG,SDL AP 6.85% 2036,,0.0,0.01,100,NSE,EQ,NSE,,
10241,AEGISLOG,AEGIS LOGISTICS,,0.0,0.05,1,NSE,EQ,NSE,,
10497,687AP38-SG,SDL AP 6.87% 2038,,0.0,0.01,100,NSE,EQ,NSE,,
10753,677WB40-SG,SDL WB 6.77% 2040,,0.0,0.01,100,NSE,EQ,NSE,,
11777,SANWARIA-BZ,SANWARIA CONSUMER,,0.0,0.01,1,NSE,EQ,NSE,,
12289,HAPPSTMNDS,HAPPIEST MINDS TECHNO,,0.0,0.05,1,NSE,EQ,NSE,,
16641,663GJ29-SG,SDL GJ 6.63% 2029,,0.0,0.01,100,NSE,EQ,NSE,,
17409,684TS40-SG,SDL TS 6.84% 2040,,0.0,0.01,100,NSE,EQ,NSE,,
18433,665KA30-SG,SDL KA 6.65% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
18945,675KA33-SG,SDL KA 6.75% 2033,,0.0,0.01,100,NSE,EQ,NSE,,
19457,667UK30-SG,SDL UK 6.67% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
20225,ALEMBICLTD,ALEMBIC,,0.0,0.01,1,NSE,EQ,NSE,,
21249,67ML30-SG,SDL ML 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
22017,67NL30-SG,SDL NL 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
22273,667RJ30-SG,SDL RJ 6.67% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
22785,67TR30-SG,SDL TR 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
23553,668UP30-SG,SDL UP 6.68% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
24321,676MP33-SG,SDL MP 6.76% 2033,,0.0,0.01,100,NSE,EQ,NSE,,
25601,ARE&M,AMARA RAJA ENERGY MOB,,0.0,0.1,1,NSE,EQ,NSE,,
26625,SHAREINDIA,SHARE IND. SECURITIES,,0.0,0.01,1,NSE,EQ,NSE,,
29953,OMFURN-SM,OMFURN INDIA,,0.0,0.05,1200,NSE,EQ,NSE,,
32769,ROUTE,ROUTE MOBILE,,0.0,0.05,1,NSE,EQ,NSE,,
34817,ANDHRSUGAR,ANDHRA SUGARS,,0.0,0.01,1,NSE,EQ,NSE,,
36865,GODREJAGRO,GODREJ AGROVET,,0.0,0.05,1,NSE,EQ,NSE,,
38145,SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,,0.0,0.01,1,NSE,EQ,NSE,,
39425,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,,0.0,0.05,1,NSE,EQ,NSE,,
40193,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,,0.0,0.5,1,NSE,EQ,NSE,,
40449,67MH28-SG,SDL MH 6.7% 2028,,0.0,0.01,100,NSE,EQ,NSE,,
40705,MILTON-SM,MILTON INDUSTRIES,,0.0,0.05,4400,NSE,EQ,NSE,,
41217,674UP30-SG,SDL UP 6.74% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
41729,APOLLOTYRE,APOLLO TYRES,,0.0,0.05,1,NSE,EQ,NSE,,
41985,68AS30-SG,SDL AS 6.8% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
42241,674GA30-SG,SDL GA 6.74% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
42497,ANDHRAPAP,ANDHRA PAPER,,0.0,0.01,1,NSE,EQ,NSE,,
42753,67GJ30-SG,SDL GJ 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
43521,67KA30-SG,SDL KA 6.7% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
43777,672RJ30-SG,SDL RJ 6.72% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
44289,673SK30-SG,SDL SK 6.73% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
45825,669TN30-SG,SDL TN 6.69% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
46337,ARENTERP,RAJDARSHAN INDUSTRIES,,0.0,0.01,1,NSE,EQ,NSE,,
46593,678KA32-SG,SDL KA 6.78% 2032,,0.0,0.01,100,NSE,EQ,NSE,,
47105,TCPLPACK,TCPL PACKAGING,,0.0,0.1,1,NSE,EQ,NSE,,
47361,678MH32-SG,SDL MH 6.78% 2032,,0.0,0.01,100,NSE,EQ,NSE,,
47617,850NHAI29-N5,,,0.0,0.01,1,NSE,EQ,NSE,,
49153,875NHAI29-N6,,,0.0,0.01,1,NSE,EQ,NSE,,
49409,ARVIND,ARVIND,,0.0,0.05,1,NSE,EQ,NSE,,
50945,MASFIN,MAS FINANCIAL SERV,,0.0,0.05,1,NSE,EQ,NSE,,
51457,UNIDT,UNITED DRILLING TOOLS,,0.0,0.01,1,NSE,EQ,NSE,,
51969,ASHAPURMIN,ASHAPURA MINECHEM,,0.0,0.05,1,NSE,EQ,NSE,,
52737,ASHIMASYN,ASHIMA,,0.0,0.01,1,NSE,EQ,NSE,,
54273,ASHOKLEY,ASHOK LEYLAND,,0.0,0.01,1,NSE,EQ,NSE,,
56321,IEX,INDIAN ENERGY EXC,,0.0,0.01,1,NSE,EQ,NSE,,
60161,AAKASH,AAKASH EXPLORATION SER L,,0.0,0.01,1,NSE,EQ,NSE,,
60417,ASIANPAINT,ASIAN PAINTS,,0.0,0.1,1,NSE,EQ,NSE,,
62721,ADL,ARCHIDPLY DECOR,,0.0,0.01,1,NSE,EQ,NSE,,
65281,NIRAJ,NIRAJ CEMENT STRUC,,0.0,0.01,1,NSE,EQ,NSE,,
67329,ATUL,ATUL,,0.0,0.5,1,NSE,EQ,NSE,,
69121,CHEMCON,CHEMCON SPECIAL CHEM,,0.0,0.01,1,NSE,EQ,NSE,,
70401,AUROPHARMA,AUROBINDO PHARMA,,0.0,0.1,1,NSE,EQ,NSE,,
70913,GICRE,GENERAL INS CORP OF INDIA,,0.0,0.05,1,NSE,EQ,NSE,,
71169,AUTOAXLES,AUTOMOTIVE AXLES,,0.0,0.1,1,NSE,EQ,NSE,,
74497,69PY29-SG,SDL PY 6.9% 2029,,0.0,0.01,100,NSE,EQ,NSE,,
75265,69AS30A-SG,SDL AS 6.9% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
76033,683GJ30-SG,SDL GJ 6.83% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
76801,685KA30-SG,SDL KA 6.85% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
77313,685RJ30-SG,SDL RJ 6.85% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
77569,689GA30-SG,SDL GA 6.89% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
78081,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,,0.0,1.0,1,NSE,EQ,NSE,,
78337,69ML30-SG,SDL ML 6.9% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
78593,69UP30-SG,SDL UP 6.9% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
78849,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,,0.0,0.01,1,NSE,EQ,NSE,,
79105,69UK30A-SG,SDL UK 6.9% 2030,,0.0,0.01,100,NSE,EQ,NSE,,
79617,697KA31-SG,SDL KA 6.97% 2031,,0.0,0.01,100,NSE,EQ,NSE,,
79873,TIINDIA,TUBE INVEST OF INDIA,,0.0,0.1,1,NSE,EQ,NSE,,
80129,71MH32-SG,SDL MH 7.1% 2032,,0.0,0.01,100,NSE,EQ,NSE,,
80385,696JK35-SG,SDL JK 6.96% 2035,,0.0,0.01,100,NSE,EQ,NSE,,
80641,704WB35-SG,SDL WB 7.04% 2035,,0.0,0.01,100,NSE,EQ,NSE,,
80897,705MZ35-SG,SDL MZ 7.05% 2035,,0.0,0.01,100,NSE,EQ,NSE,,
81153,BAJFINANCE,BAJAJ FINANCE,,0.0,0.1,1,NSE,EQ,NSE,,
81409,70AP39-SG,SDL AP 7.0% 2039,,0.0,0.01,100,NSE,EQ,NSE,,
81665,695PN40-SG,SDL PN 6.95% 2040,,0.0,0.01,100,NSE,EQ,NSE,,
82177,705HR40-SG,SDL HR 7.05% 2040,,0.0,0.01,100,NSE,EQ,NSE,,
82433,694TS50-SG,SDL TS 6.94% 2050,,0.0,0.01,100,NSE,EQ,NSE,,
82945,ANGELONE,ANGEL ONE,,0.0,0.1,1,NSE,EQ,NSE,,
84481,VALIANTORG,VALIANT ORGANICS,,0.0,0.05,1,NSE,EQ,NSE,,
85761,BALKRISIND,BALKRISHNA IND.,,0.0,0.1,1,NSE,EQ,NSE,,
86529,BALMLAWRIE,BALMER LAWRIE & CO,,0.0,0.01,1,NSE,EQ,NSE,,
87297,BALRAMCHIN,BALRAMPUR CHINI MILLS,,0.0,0.05,1,NSE,EQ,NSE,,
87553,CAMS,COMPUTER AGE MNGT SER,,0.0,0.1,1,NSE,EQ,NSE,,
88833,BANARBEADS,BANARAS BEADS,,0.0,0.01,1,NSE,EQ,NSE,,
89601,BANARISUG,BANNARI AMMAN SUGARS,,0.0,0.1,1,NSE,EQ,NSE,,
91393,NAM-INDIA,NIPPON L I A M,,0.0,0.05,1,NSE,EQ,NSE,,
91905,ROML,RAJ OIL MILLS,,0.0,0.01,1,NSE,EQ,NSE,,
94209,BASF,BASF INDIA,,0.0,0.1,1,NSE,EQ,NSE,,
94977,BATAINDIA,BATA INDIA,,0.0,0.1,1,NSE,EQ,NSE,,
97281,BBTC,BOMBAY BURMAH TRADING COR,,0.0,0.1,1,NSE,EQ,NSE,,
97537,SINTERCOM,SINTERCOM INDIA,,0.0,0.01,1,NSE,EQ,NSE,,
98049,BEL,BHARAT ELECTRONICS,,0.0,0.05,1,NSE,EQ,NSE,,
98561,MAHLOG,MAHINDRA LOGISTIC,,0.0,0.05,1,NSE,EQ,NSE,,
100609,GLOBE,GLOBE ENTERPRISE (I),,0.0,0.01,1,NSE,EQ,NSE,,
101121,BEML,BEML,,0.0,0.1,1,NSE,EQ,NSE,,
102145,NIACL,THE NEW INDIA ASSU CO,,0.0,0.01,1,NSE,EQ,NSE,,
103425,BERGEPAINT,BERGER PAINTS (I),,0.0,0.05,1,NSE,EQ,NSE,,
